title,author,rating,slick_sheet,retrieved_date
A is for Activist,Innosanto Nagara,1,...,06/02/2023
An ABC of Equality,Chana Ginelle Ewing,1,...,06/02/2023
Ablaze with Color: A Story of Painter Alma Thomas ,Jeanne Walker Harvey,1,...,06/02/2023
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,2,...,06/02/2023
Ace Voices,Eris Young,3,...,06/02/2023
"Ada Twist, Scientist",Andrea Beaty,0,...,06/02/2023
Adjustment Day,Chuck Palahniuk,4,here,06/02/2023
Advocating for Yourself,Abby Colich,0,...,06/02/2023
After,Amy Efaw,2,...,06/02/2023
Al Capone Does My Shirts,Gennifer Choldenko,2,...,06/02/2023
All American Boys,Jason Reynolds and Brendan Kiely,2,...,06/02/2023
All Because You Matter,Tami Charles,1,...,06/02/2023
All Boys Aren't Blue,George M. Johnson,4,here,06/02/2023
All the Bright Places,Jennifer Niven,2,...,06/02/2023
All the Things We Do in the Dark,Saundra Mitchell,3,...,06/02/2023
All Your Perfects,Colleen Hoover,4,here,06/02/2023
Allegedly,Tiffany Jackson,3,...,06/02/2023
Alma and How She Got Her Name,Juana Martinez-Neal,0,...,06/02/2023
Almost Perfect,Brian Katcher,3,...,06/02/2023
Alt Ed,Catherine Atkins,2,...,06/02/2023
America,E.R. Frank,3,...,06/02/2023
An Ordinary Day,Elana K. Arnold,0,...,06/02/2023
Anatomy of a Boyfriend,Daria Snadowsky,4,here,06/02/2023
Anatomy of a Single Girl,Daria Snadowsky,4,...,06/02/2023
And They Lived...,Steven Salvatore,4,here,06/02/2023
"ANGUS, THONGS, AND FULL-FRONTAL SNOGGING",Louise Rennison,2,...,06/02/2023
Anne Frank's Diary: The Graphic Adaptation,Ari Folman and David Polonsky,2,...,06/02/2023
Antiracist Baby,Ibram X. Kendi,1,...,06/02/2023
Antonio's Card,Rigoberto Gonzalez,1,...,06/02/2023
Are You a Boy or Are You a Girl?,Sarah Savage and Fox Fisher,1,...,06/02/2023
Are You a Butterfly?,Judy Allen and Tudor Humphries,0,...,06/02/2023
Are You an Ant?,Judy Allen and Tudor Humphries,0,...,06/02/2023
Are You My Mother: A Comic Drama,Alison Bechdel,4,...,06/02/2023
The Art of Drag,Jake Hall,3,...,06/02/2023
The Art of Racing in the Rain,Garth Stein,3,...,06/02/2023
As The Crow Flies,Melanie Gillman,2,...,06/02/2023
Ask the Passengers,A.S. King,3,...,06/02/2023
The Assassin and the Desert,Sarah J. Maas,2,...,06/02/2023
The Assassin and the Empire,Sarah J. Maas,3,...,06/02/2023
The Assassin and the Pirate Lord,Sarah J. Maas,2,...,06/02/2023
The Assassin's Blade,Sarah J. Maas,2,...,06/02/2023
